particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
second_lepton,L2_ch224:256,label_Tbl,1,3.056410990945949,3,2.643068469299768,23,12.675184609571186,-0.413342521646181,-10.032116140271418,0.037467201794343305,0.0,4.14670018286714,anomalous_third_topology_candidate
hardest_hadron,L2_ch160:192,label_Hqql,8,0.9500674178507129,2,1.6169866481929311,14,-4.144919118795489,0.6669192303422182,5.76190576698842,0.0,0.0,3.842725759424306,anomalous_third_topology_candidate
particle0_best_lepton,L2_ch128:160,label_Hqql,31,10.255719502309093,10,10.629727042359985,105,1.2063608633174432,0.37400754005089176,9.423366179042542,0.0,0.0,3.5244100036224726,anomalous_third_topology_candidate
particle0_best_lepton,L2_ch128:160,label_Tbl,31,10.801069702140426,10,12.580892511266892,105,14.548634456101668,1.7798228091264665,-1.967741944834776,0.5997229011855865,0.0,3.5022319958918073,anomalous_third_topology_candidate
second_lepton,L2_ch224:256,label_Hqql,1,3.1410699155770203,3,2.9754721637151484,23,20.72228480972154,-0.16559775186187187,-17.74681264600639,0.0,0.16559775186187187,2.9388322768924957,source_evidence_loss_candidate
particle0_best_lepton,L2_ch32:64,label_Hqql,31,0.2585005843852418,10,-2.592463767690173,107,-1.971050365660724,-2.850964352075415,-0.6214134020294493,0.0,2.850964352075415,1.771627457087868,source_evidence_loss_candidate
best_lepton,L2_ch224:256,label_Hqql,1,9.74044235207748,1,9.995267342315856,18,19.17393096072156,0.2548249902383759,-9.178663618405704,0.0,0.0,2.3389528669615696,anomalous_third_topology_candidate
particle0_best_lepton,L1_ch32:48,label_Hqql,9,11.926016158315456,3,12.029605801486847,53,-9.56982137080972,0.10358964317139119,21.599427172296565,0.0,0.0,2.237476953484652,anomalous_third_topology_candidate
best_lepton,L2_ch0:32,label_Tbl,1,-0.84891250897806,0,0.0,19,2.3458709659983694,0.84891250897806,-2.3458709659983694,0.2537194403504901,0.0,1.9914392074844611,anomalous_third_topology_candidate
photon_neighbor,L2_ch128:160,label_Hqql,10,1.7278681907664115,1,2.68110716374656,56,0.6193705348637905,0.9532389729801487,2.0617366288827697,0.0,0.0,1.9653277066717654,anomalous_third_topology_candidate
hadron_neighbor,L2_ch224:256,label_Hqql,4,3.6493591096848235,4,4.842575430584333,23,6.488651057825086,1.1932163208995092,-1.6460756272407533,0.0,0.0,1.9641243038585636,anomalous_third_topology_candidate
hard_hadron,L2_ch160:192,label_Hqql,20,0.7556688225444715,4,-0.3146577836974067,26,-1.962073489394529,-1.0703266062418781,1.6474157056971224,0.0,1.0703266062418781,1.7632728613483697,source_evidence_loss_candidate
particle0,L2_ch160:192,label_Tbl,0,0.0,1,-0.5902361554231561,1,-3.5518174572507633,-0.5902361554231561,2.961581301827607,0.14899003969724434,0.0,1.7480323615638325,anomalous_third_topology_candidate
photon_neighbor,L2_ch160:192,label_Hqql,16,0.6510179345154823,6,-1.0141517052995042,80,-1.960264525102786,-1.6651696398149864,0.9461128198032818,0.0,1.6651696398149864,1.5754383433761718,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L2_ch0:32,label_Hqql,0,0.0,2,2.3417676257307676,24,1.6327797541027171,2.3417676257307676,0.7089878716280504,0.0,0.0,1.66028484481433,anomalous_third_topology_candidate
best_lepton,L2_ch224:256,label_Tbl,1,10.281598932866473,1,9.379890132860282,18,11.187811910962436,-0.9017088000061904,-1.8079217781021537,0.32113031318687457,0.0,1.630218977037551,anomalous_third_topology_candidate
photon_neighbor,L2_ch0:32,label_Tbl,13,1.218958230195009,0,0.0,41,1.3291613557920663,-1.218958230195009,-1.3291613557920663,0.5233464084245396,0.0,1.620192173899896,anomalous_third_topology_candidate
other_lepton,L2_ch128:160,label_Tbl,0,0.0,1,2.00887136809763,1,2.7576184682271503,2.00887136809763,-0.7487471001295205,1.1487489345651198,0.0,1.5041366113963228,target_like_trigger_candidate
particle0,L2_ch128:160,label_Tbl,1,4.873992368957261,1,2.873595776872776,7,2.1235957766918228,-2.000396592084485,0.750000000180953,1.1430837667872231,0.0,1.5002974444253414,target_like_trigger_candidate
hadron_neighbor,L2_ch160:192,label_Hqql,17,0.48347494725565915,6,-0.8774957737098662,71,-1.8345033168979796,-1.3609707209655253,0.9570075431881134,0.0,1.3609707209655253,1.302459246022173,source_evidence_loss_candidate
best_lepton,L2_ch128:160,label_Tbl,1,8.73290535135311,1,10.138827040901788,21,9.209576111343043,1.405921689548677,0.9292509295587443,0.7287396719670041,0.0,1.3064540368999085,target_like_trigger_candidate
second_lepton,L2_ch0:32,label_Hqql,1,3.3997384534632715,3,2.3204354134904484,28,3.4759030237336526,-1.0793030399728232,-1.1554676102432042,0.0,1.0793030399728232,1.2470997043256236,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L2_ch0:32,label_Tbl,0,0.0,2,1.7878983556374806,24,1.0982493852307755,1.7878983556374806,0.689648970406705,1.0581478087765925,0.0,1.2330222601572294,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L2_ch128:160,label_Tbl,0,0.0,2,1.8079786362894978,15,2.4212107901014535,1.8079786362894978,-0.6132321538119556,1.120718200426002,0.0,1.1087106331778112,target_like_trigger_candidate
second_lepton,L2_ch32:64,label_Tbl,2,-0.26032539997780013,5,0.14810828898591807,42,2.601056250541837,0.40843368896371823,-2.452947961555919,0.1182855037235127,0.0,1.001866584774317,anomalous_third_topology_candidate
hard_hadron,L2_ch128:160,label_Hqql,25,2.0304942351816133,6,1.283669472584073,51,0.0973583373754856,-0.7468247625975404,1.1863111352085873,0.0,0.7468247625975404,0.8859665319189719,source_evidence_loss_candidate
hardest_hadron,L2_ch32:64,label_Tbl,14,-0.2656662615154803,3,1.0284673384662426,44,1.6842203187065599,1.294133599981723,-0.6557529802403173,0.7815982307903752,0.0,0.8486319650171454,target_like_trigger_candidate
second_lepton,L2_ch32:64,label_Hqql,2,-1.3895464406504772,5,-1.8988299004016056,42,-3.43093476594188,-0.5092834597511284,1.5321048655402743,0.0,0.5092834597511284,0.7802756666238883,source_evidence_loss_candidate
